"","Participant","Gender","Age","Lextale score","OrderofOccurrence","ItemType","item","AdjectiveFreq","NounFreq","LemNounFreq","CollFreq","LemCollFreq","LDscores","Length","ErrorRate","ReactionTime","Language"
"20","EE01","M",28,80.5,2,"High_freq","free trade",5.24,5.26,5.27,3.71,3.72,7.08,9,1,0.834040165,"English"
"21","EE01","M",28,80.5,1,"High_freq","middle class",5.05,5.2,5.35,3.92,4.07,8,11,1,1.135538101,"English"
"22","EE01","M",28,80.5,2,"High_freq","white paper",5.31,5.17,5.31,4,4.04,8.11,10,1,0.619570971,"English"
"23","EE01","M",28,80.5,2,"High_freq","dark hair",5.05,5.08,5.09,3.49,3.77,7,8,1,0.637823105,"English"
"24","EE01","M",28,80.5,1,"High_freq","human rights",5.23,5.05,5.96,4.08,4.33,8.87,11,1,0.701910019,"English"
"25","EE01","M",28,80.5,1,"High_freq","rapid growth",4.5,5.05,5.06,3.47,3.47,7.09,11,1,0.78744483,"English"
"26","EE01","M",28,80.5,2,"High_freq","medical treatment",4.91,5.03,5.06,3.61,3.63,7.53,16,1,0.903974056,"English"
"27","EE01","M",28,80.5,2,"High_freq","vast majority",4.63,4.94,4.95,3.88,3.88,8.79,12,1,0.98706007,"English"
"28","EE01","M",28,80.5,1,"High_freq","senior officer",4.86,4.9,5.19,3.53,3.84,7.61,13,1,0.836986065,"English"
"29","EE01","M",28,80.5,1,"Low_freq","difficult life",5.28,5.69,5.74,3.11,3.12,3.76,13,1,1.470870018,"English"
"30","EE01","M",28,80.5,1,"Low_freq","warm place",4.77,5.62,5.77,2.86,2.89,3.19,9,1,0.67018795,"English"
"31","EE01","M",28,80.5,1,"Low_freq","poor children",5.11,5.6,5.79,3.63,3.25,3.63,12,1,1.766298056,"English"
"32","EE01","M",28,80.5,1,"Low_freq","similar case",5.21,5.6,5.75,2.82,3.15,3.1,11,1,2.935857058,"English"
"33","EE01","M",28,80.5,2,"Low_freq","certain point",5.28,5.54,5.68,3,3.26,3.84,12,1,1.219545126,"English"
"34","EE01","M",28,80.5,1,"Low_freq","vital information",4.65,5.53,5.53,2.98,2.98,3.91,16,1,0.887001038,"English"
"35","EE01","M",28,80.5,1,"Low_freq","small head",5.58,5.5,5.56,2.81,2.97,3.21,9,1,0.887264013,"English"
"36","EE01","M",28,80.5,2,"Low_freq","foreign business",5.15,5.49,5.53,2.68,2.76,2.84,15,1,1.171604872,"English"
"37","EE01","M",28,80.5,2,"Low_freq","round face",5.43,5.46,5.52,2.85,3.38,3.54,9,1,0.803645849,"English"
"38","EE01","M",28,80.5,1,"Low_freq","great service",5.61,5.43,5.69,2.78,2.97,3.3,12,1,0.735950947,"English"
"39","EE01","M",28,80.5,2,"Low_freq","special court",5.28,5.4,5.48,2.64,2.81,3.09,12,1,0.88634491,"English"
"40","EE01","M",28,80.5,2,"Low_freq","easy question",5.1,5.35,5.54,2.49,2.79,2.76,12,1,0.786446095,"English"
"41","EE01","M",28,80.5,2,"Low_freq","elderly mother",4.64,5.33,5.39,2.41,2.44,2.7,13,1,0.721632957,"English"
"42","EE01","M",28,80.5,2,"Low_freq","physical body",4.92,5.34,5.44,2.74,2.84,3.69,12,1,1.051018,"English"
"43","EE01","M",28,80.5,1,"Low_freq","strong voice",5.14,5.31,5.36,2.67,2.76,3.47,11,1,0.703686953,"English"
"44","EE01","M",28,80.5,1,"Low_freq","important city",5.53,5.3,5.38,2.57,2.72,3,13,1,1.320101023,"English"
"45","EE01","M",28,80.5,1,"Low_freq","fair idea",4.9,5.27,5.45,2.43,2.44,2.9,8,1,1.37048912,"English"
"46","EE01","M",28,80.5,1,"Low_freq","good land",5.85,5.27,5.31,2.79,2.82,3.49,8,1,1.055121183,"English"
"47","EE01","M",28,80.5,1,"Low_freq","full authority",5.4,5.21,5.44,2.65,2.7,3.6,13,1,0.654111147,"English"
"48","EE01","M",28,80.5,1,"Low_freq","only friend",6.12,5.16,5.43,2.66,3.19,2.78,10,1,0.685385942,"English"
"49","EE01","M",28,80.5,2,"Low_freq","soft material",4.71,5.07,5.25,2.36,2.44,3.31,12,1,0.837404966,"English"
"50","EE01","M",28,80.5,2,"Low_freq","suitable software",4.72,4.92,4.92,2.04,2.04,2.77,16,1,1.020473957,"English"
"51","EE01","M",28,80.5,1,"Baseline","dirty time",4.37,6.13,6.2,1.41,1.41,-3.22,9,1,1.003878117,"English"
"52","EE01","M",28,80.5,1,"Baseline","nice years",5.05,5.89,6.15,1.54,2.11,-2.05,9,1,0.95339489,"English"
"53","EE01","M",28,80.5,1,"Baseline","far man",5.54,5.71,5.93,1.9,3.01,-0.41,6,1,0.737792969,"English"
"54","EE01","M",28,80.5,1,"Baseline","late water",5.23,5.48,5.51,1.69,2,-0.19,9,1,0.938839912,"English"
"55","EE01","M",28,80.5,1,"Baseline","able development",5.42,5.45,5.51,0.94,1.23,-2.21,15,1,1.551758051,"English"
"56","EE01","M",28,80.5,2,"Baseline","sure power",5.32,5.44,5.53,1.54,1.72,-0.07,9,1,0.937532902,"English"
"57","EE01","M",28,80.5,1,"Baseline","general eyes",5.53,5.38,5.51,0,1.79,0,11,1,1.304346085,"English"
"58","EE01","M",28,80.5,1,"Baseline","big level",5.34,5.37,5.54,1.54,1.85,-0.48,8,1,1.584996939,"English"
"59","EE01","M",28,80.5,1,"Baseline","single health",5.2,5.33,5.33,1.23,1.23,-1.32,12,1,1.000721931,"English"
"60","EE01","M",28,80.5,1,"Baseline","real minister",5.3,5.32,5.43,1.23,1.54,-1.34,12,1,1.236224175,"English"
"61","EE01","M",28,80.5,2,"Baseline","red report",5.11,5.32,5.48,1.54,1.79,-0.25,9,1,0.954139948,"English"
"62","EE01","M",28,80.5,1,"Baseline","short community",5.24,5.31,5.38,1.54,1.64,-0.26,14,1,1.169983149,"English"
"63","EE01","M",28,80.5,1,"Baseline","clear trade",5.34,5.24,5.27,1.69,1.9,0.45,10,1,2.054425955,"English"
"64","EE01","M",28,80.5,1,"Baseline","outside paper",5.27,5.17,5.31,0,1.9,0,12,1,0.953660965,"English"
"65","EE01","M",28,80.5,1,"Baseline","true news",5.19,5.1,5.1,1.41,1.41,-0.059,8,1,0.904452085,"English"
"66","EE01","M",28,80.5,2,"Baseline","chief growth",4.99,5.05,5.06,0,0,0,11,1,1.053509951,"English"
"67","EE01","M",28,80.5,1,"Baseline","wide treatment",5.02,5.03,5.06,1.23,1.23,-0.4,13,1,0.936598063,"English"
"68","EE01","M",28,80.5,1,"Baseline","light majority",5.3,4.94,4.95,0.94,1.23,-1.31,13,1,1.153048992,"English"
"69","EE01","M",28,80.5,2,"Baseline","necessary world",5.2,5.7,5.71,1.64,1.64,-1.14,14,1,1.52088213,"English"
"70","EE01","M",28,80.5,2,"Baseline","final life",5.13,5.69,5.74,1.9,1.99,-0.22,9,1,1.37037015,"English"
"71","EE01","M",28,80.5,1,"Baseline","fast house",4.81,5.64,5.74,1.23,1.99,-2.2,9,1,0.820669889,"English"
"72","EE01","M",28,80.5,2,"Baseline","dead case",5.02,5.6,5.75,1.41,1.72,-1.52,8,1,1.405309916,"English"
"73","EE01","M",28,80.5,2,"Baseline","united information",5.23,5.53,5.53,1.54,1.94,-0.92,17,1,0.87154603,"English"
"74","EE01","M",28,80.5,2,"Baseline","various head",5.13,5.5,5.56,1.79,2.2,-0.03,11,1,1.203934908,"English"
"75","EE01","M",28,80.5,1,"Baseline","married business",4.93,5.49,5.53,0.94,1.41,-2.74,15,1,1.037812948,"English"
"76","EE01","M",28,80.5,1,"Baseline","national face",5.53,5.46,5.52,1.79,1.9,-0.028,12,1,0.953691959,"English"
"77","EE01","M",28,80.5,1,"Baseline","happy court",5,5.4,5.48,1.23,1.72,-1.44,10,1,0.987242937,"English"
"78","EE01","M",28,80.5,1,"Baseline","french question",5.17,5.35,5.54,1.23,1.94,-1.38,14,1,1.787240982,"English"
"79","EE01","M",28,80.5,1,"Baseline","significant mother",5.02,5.33,5.39,0,0.94,0,17,1,1.2704041,"English"
"80","EE01","M",28,80.5,1,"Baseline","early body",5.47,5.34,5.44,1.23,2.07,-1.46,9,1,1.735516787,"English"
"81","EE01","M",28,80.5,2,"Baseline","serious city",5.03,5.3,5.38,1.23,1.41,-1.2,11,1,1.004056931,"English"
"82","EE01","M",28,80.5,2,"Baseline","cold idea",5.01,5.27,5.45,0.94,1.64,-2.12,8,1,0.903795004,"English"
"83","EE01","M",28,80.5,2,"Baseline","future authority",5.29,5.21,5.44,1.23,2.2,-1.03,15,1,1.587652922,"English"
"84","EE01","M",28,80.5,2,"Baseline","wrong friend",5.14,5.16,5.43,1.41,2.04,-0.2,11,1,1.069540977,"English"
"85","EE01","M",28,80.5,1,"Baseline","individual game",5.22,5.11,5.26,0.94,1.72,-1.69,14,1,1.737179995,"English"
"86","EE01","M",28,80.5,1,"Baseline","past material",5.35,5.07,5.25,1.23,2.11,-0.68,12,1,2.087551832,"English"
"87","EE01","M",28,80.5,1,"Baseline","little software",5.74,4.92,4.92,0.94,1.94,-1.85,14,1,1.237424135,"English"
"88","EE01","M",28,80.5,1,"Baseline","male glass",4.98,4.92,5.01,0,0,0,9,1,1.153832912,"English"
"89","EE02","F",19,91.25,1,"High_freq","long time",5.69,6.13,6.2,4.61,4.63,7.28,8,1,0.518899202,"English"
"90","EE02","F",19,91.25,2,"High_freq","young people",5.45,6.03,6.04,4.53,4.53,7.36,11,1,0.717469931,"English"
"91","EE02","F",19,91.25,1,"High_freq","recent years",5.14,5.89,6.15,4.4,4.4,7.39,11,1,0.786798954,"English"
"92","EE02","F",19,91.25,1,"High_freq","local government",5.61,5.74,5.77,4.48,4.58,8.06,15,1,0.787079096,"English"
"93","EE02","F",19,91.25,1,"High_freq","old man",5.67,5.71,5.93,4.34,4.4,7.65,6,1,0.635006905,"English"
"94","EE02","F",19,91.25,2,"High_freq","labour party",5.38,5.54,5.66,4.59,4.61,9.1,11,1,0.701463938,"English"
"95","EE02","F",19,91.25,1,"High_freq","hot water",4.89,5.48,5.51,3.97,3.97,7.34,8,1,0.703591824,"English"
"96","EE02","F",19,91.25,2,"High_freq","left hand",5.6,5.47,5.69,3.92,4,7,8,1,0.736170053,"English"
"97","EE02","F",19,91.25,2,"High_freq","economic development",5.31,5.45,5.51,3.98,4.01,7.36,19,1,0.951494932,"English"
"98","EE02","F",19,91.25,2,"High_freq","nuclear power",4.85,5.44,5.53,4.08,4.09,7.81,12,1,0.637609959,"English"
"99","EE02","F",19,91.25,2,"High_freq","blue eyes",4.95,5.38,5.51,3.9,3.94,7.4,8,1,0.603106022,"English"
"100","EE02","F",19,91.25,2,"High_freq","common law",5.24,5.37,5.44,4.01,4.02,7.73,9,1,0.853539944,"English"
"101","EE02","F",19,91.25,1,"High_freq","main road",5.34,5.37,5.43,3.82,3.9,7.07,8,1,0.704180002,"English"
"102","EE02","F",19,91.25,2,"High_freq","high level",5.53,5.37,5.54,3.97,4.22,7.47,9,1,0.770501852,"English"
"103","EE02","F",19,91.25,1,"High_freq","social policy",5.56,5.36,5.48,3.89,3.98,7.19,12,1,1.07069087,"English"
"104","EE02","F",19,91.25,1,"High_freq","mental health",4.7,5.33,5.33,3.93,3.93,7.69,12,1,0.63378191,"English"
"105","EE02","F",19,91.25,2,"High_freq","prime minister",5.03,5.32,5.43,4.93,4.94,10.95,13,1,0.586694002,"English"
"106","EE02","F",19,91.25,2,"High_freq","annual report",4.85,5.32,5.48,3.75,3.86,7.13,12,1,0.787705898,"English"
"107","EE02","F",19,91.25,2,"High_freq","front door",5.27,5.31,5.39,4.16,4.2,8.4,9,1,0.78925705,"English"
"108","EE02","F",19,91.25,1,"High_freq","european community",5.31,5.25,5.38,4.26,4.38,8.75,17,1,1.254200935,"English"
"109","EE02","F",19,91.25,2,"High_freq","free trade",5.24,5.26,5.27,3.71,3.72,7.08,9,1,0.552915096,"English"
"110","EE02","F",19,91.25,2,"High_freq","middle class",5.05,5.2,5.35,3.92,4.07,8,11,1,0.669159889,"English"
"111","EE02","F",19,91.25,1,"High_freq","white paper",5.31,5.17,5.31,4,4.04,8.11,10,1,1.318647146,"English"
"112","EE02","F",19,91.25,1,"High_freq","bad news",5.12,5.1,5.1,3.78,3.78,7.8,7,1,0.600769997,"English"
"113","EE02","F",19,91.25,1,"High_freq","dark hair",5.05,5.08,5.09,3.49,3.77,7,8,1,0.636470079,"English"
"114","EE02","F",19,91.25,1,"High_freq","human rights",5.23,5.05,5.96,4.08,4.33,8.87,11,1,0.903566122,"English"
"115","EE02","F",19,91.25,1,"High_freq","rapid growth",4.5,5.05,5.06,3.47,3.47,7.09,11,1,0.920902014,"English"
"116","EE02","F",19,91.25,1,"High_freq","medical treatment",4.91,5.03,5.06,3.61,3.63,7.53,16,1,0.769729137,"English"
"117","EE02","F",19,91.25,2,"High_freq","vast majority",4.63,4.94,4.95,3.88,3.88,8.79,12,1,0.719662905,"English"
"118","EE02","F",19,91.25,2,"High_freq","senior officer",4.86,4.9,5.19,3.53,3.84,7.61,13,1,0.770695925,"English"
"119","EE02","F",19,91.25,1,"Low_freq","inner world",4.59,5.7,5.71,2.85,2.92,2.92,10,1,1.003530025,"English"
"120","EE02","F",19,91.25,1,"Low_freq","difficult life",5.28,5.69,5.74,3.11,3.12,3.76,13,1,0.705778837,"English"
"121","EE02","F",19,91.25,2,"Low_freq","lovely house",4.73,5.64,5.74,2.79,2.85,2.95,11,1,1.620482922,"English"
"122","EE02","F",19,91.25,1,"Low_freq","warm place",4.77,5.62,5.77,2.86,2.89,3.19,9,1,0.586574793,"English"
"123","EE02","F",19,91.25,1,"Low_freq","poor children",5.11,5.6,5.79,3.63,3.25,3.63,12,1,0.952444077,"English"
"124","EE02","F",19,91.25,2,"Low_freq","whole company",5.42,5.54,5.71,2.76,2.99,3.01,12,1,0.837303162,"English"
"125","EE02","F",19,91.25,1,"Low_freq","certain point",5.28,5.54,5.68,3,3.26,3.84,12,1,0.634183884,"English"
"126","EE02","F",19,91.25,1,"Low_freq","vital information",4.65,5.53,5.53,2.98,2.98,3.91,16,1,0.75348711,"English"
"127","EE02","F",19,91.25,2,"Low_freq","foreign business",5.15,5.49,5.53,2.68,2.76,2.84,15,1,0.920078993,"English"
"128","EE02","F",19,91.25,1,"Low_freq","round face",5.43,5.46,5.52,2.85,3.38,3.54,9,1,0.670320988,"English"
"129","EE02","F",19,91.25,2,"Low_freq","great service",5.61,5.43,5.69,2.78,2.97,3.3,12,1,1.256114006,"English"
"130","EE02","F",19,91.25,1,"Low_freq","tiny room",4.66,5.4,5.48,2.75,2.83,3.55,8,1,0.903876066,"English"
"131","EE02","F",19,91.25,2,"Low_freq","special court",5.28,5.4,5.48,2.64,2.81,3.09,12,1,0.970778227,"English"
"132","EE02","F",19,91.25,2,"Low_freq","easy question",5.1,5.35,5.54,2.49,2.79,2.76,12,1,0.837527037,"English"
"133","EE02","F",19,91.25,1,"Low_freq","strong voice",5.14,5.31,5.36,2.67,2.76,3.47,11,1,1.420627832,"English"
"134","EE02","F",19,91.25,2,"Low_freq","extra hours",4.92,5.21,5.41,2.65,2.91,3.8,10,1,1.45432806,"English"
"135","EE02","F",19,91.25,1,"Low_freq","full authority",5.4,5.21,5.44,2.65,2.7,3.6,13,1,0.871197939,"English"
"136","EE02","F",19,91.25,2,"Low_freq","only friend",6.12,5.16,5.43,2.66,3.19,2.78,10,1,0.750702143,"English"
"137","EE02","F",19,91.25,1,"Low_freq","away game",5.62,5.11,5.19,2.32,3.26,2.54,8,1,1.037687063,"English"
"138","EE02","F",19,91.25,2,"Low_freq","soft material",4.71,5.07,5.25,2.36,2.44,3.31,12,1,1.986661196,"English"
"139","EE02","F",19,91.25,2,"Low_freq","suitable software",4.72,4.92,4.92,2.04,2.04,2.77,16,1,0.873033047,"English"
"140","EE02","F",19,91.25,2,"Baseline","dirty time",4.37,6.13,6.2,1.41,1.41,-3.22,9,1,1.437030077,"English"
"141","EE02","F",19,91.25,1,"Baseline","sudden people",4.56,6.03,6.04,1.54,1.9,-2.48,12,1,1.220010042,"English"
"142","EE02","F",19,91.25,2,"Baseline","nice years",5.05,5.89,6.15,1.54,2.11,-2.05,9,1,0.803925991,"English"
"143","EE02","F",19,91.25,2,"Baseline","deep government",4.95,5.74,5.77,1.23,1.64,-2.53,14,1,1.154190063,"English"
"144","EE02","F",19,91.25,2,"Baseline","far man",5.54,5.71,5.93,1.9,3.01,-0.41,6,1,0.803740978,"English"
"145","EE02","F",19,91.25,2,"Baseline","late water",5.23,5.48,5.51,1.69,2,-0.19,9,1,1.536794186,"English"
"146","EE02","F",19,91.25,1,"Baseline","current hand",5.1,5.47,5.69,1.64,1.85,-0.39,11,1,0.900831938,"English"
"147","EE02","F",19,91.25,1,"Baseline","able development",5.42,5.45,5.51,0.94,1.23,-2.21,15,1,1.084931135,"English"
"148","EE02","F",19,91.25,1,"Baseline","sure power",5.32,5.44,5.53,1.54,1.72,-0.07,9,1,1.036043882,"English"
"149","EE02","F",19,91.25,1,"Baseline","general eyes",5.53,5.38,5.51,0,1.79,0,11,1,1.269916058,"English"
"150","EE02","F",19,91.25,1,"Baseline","regular law",4.82,5.37,5.44,1.41,1.41,-0.76,10,1,0.984816074,"English"
"151","EE02","F",19,91.25,2,"Baseline","basic road",4.99,5.37,5.43,1.23,1.23,-1.38,9,1,0.92060113,"English"
"152","EE02","F",19,91.25,1,"Baseline","big level",5.34,5.37,5.54,1.54,1.85,-0.48,8,1,0.987672806,"English"
"153","EE02","F",19,91.25,2,"Baseline","huge policy",4.83,5.36,5.48,1.23,1.41,-1.3,10,1,1.05398798,"English"
"154","EE02","F",19,91.25,2,"Baseline","single health",5.2,5.33,5.33,1.23,1.23,-1.32,12,1,0.870640039,"English"
"155","EE02","F",19,91.25,1,"Baseline","real minister",5.3,5.32,5.43,1.23,1.54,-1.34,12,1,0.953161001,"English"
"156","EE02","F",19,91.25,1,"Baseline","red report",5.11,5.32,5.48,1.54,1.79,-0.25,9,1,1.303241968,"English"
"157","EE02","F",19,91.25,1,"Baseline","political door",5.42,5.31,5.39,1.23,1.23,-1.36,13,1,1.571008921,"English"
"158","EE02","F",19,91.25,2,"Baseline","short community",5.24,5.31,5.38,1.54,1.64,-0.26,14,1,1.03725791,"English"
"159","EE02","F",19,91.25,1,"Baseline","clear trade",5.34,5.24,5.27,1.69,1.9,0.45,10,1,1.120692015,"English"
"160","EE02","F",19,91.25,1,"Baseline","public class",5.53,5.2,5.35,1.64,2.2,0.16,11,1,1.203118086,"English"
"161","EE02","F",19,91.25,2,"Baseline","outside paper",5.27,5.17,5.31,0,1.9,0,12,1,0.919835091,"English"
"162","EE02","F",19,91.25,2,"Baseline","true news",5.19,5.1,5.1,1.41,1.41,-0.059,8,1,0.871336937,"English"
"163","EE02","F",19,91.25,2,"Baseline","british hair",5.49,5.08,5.09,1.23,1.23,-0.83,11,1,0.870441914,"English"
"164","EE02","F",19,91.25,2,"Baseline","low rights",5.17,5.05,5.96,0,0,0,8,1,1.336207867,"English"
"165","EE02","F",19,91.25,2,"Baseline","chief growth",4.99,5.05,5.06,0,0,0,11,1,0.886507988,"English"
"166","EE02","F",19,91.25,2,"Baseline","wide treatment",5.02,5.03,5.06,1.23,1.23,-0.4,13,1,0.986972094,"English"
"167","EE02","F",19,91.25,1,"Baseline","light majority",5.3,4.94,4.95,0.94,1.23,-1.31,13,1,1.21958518,"English"
"168","EE02","F",19,91.25,1,"Baseline","total officer",5.19,4.9,5.19,0.94,1.99,-1.11,12,1,0.953500986,"English"
"169","EE02","F",19,91.25,2,"Baseline","necessary world",5.2,5.7,5.71,1.64,1.64,-1.14,14,1,0.970046997,"English"
"170","EE02","F",19,91.25,2,"Baseline","final life",5.13,5.69,5.74,1.9,1.99,-0.22,9,1,1.171021223,"English"
"171","EE02","F",19,91.25,1,"Baseline","fast house",4.81,5.64,5.74,1.23,1.99,-2.2,9,1,0.853439808,"English"
"172","EE02","F",19,91.25,2,"Baseline","firm place",5.03,5.62,5.77,1.64,2.32,-0.86,9,1,1.304136038,"English"
"173","EE02","F",19,91.25,1,"Baseline","official children",4.93,5.6,5.79,1.23,1.64,-2.11,16,1,0.953770876,"English"
"174","EE02","F",19,91.25,1,"Baseline","dead case",5.02,5.6,5.75,1.41,1.72,-1.52,8,1,1.387649059,"English"
"175","EE02","F",19,91.25,1,"Baseline","green company",5.1,5.54,5.71,1.72,2.07,-0.36,12,1,1.418269157,"English"
"176","EE02","F",19,91.25,2,"Baseline","top point",5.35,5.54,5.68,1.23,2.75,-2,8,1,1.535143852,"English"
"177","EE02","F",19,91.25,2,"Baseline","united information",5.23,5.53,5.53,1.54,1.94,-0.92,17,1,1.287828922,"English"
"178","EE02","F",19,91.25,1,"Baseline","various head",5.13,5.5,5.56,1.79,2.2,-0.03,11,1,0.817253113,"English"
"179","EE02","F",19,91.25,2,"Baseline","married business",4.93,5.49,5.53,0.94,1.41,-2.74,15,1,0.836971998,"English"
"180","EE02","F",19,91.25,2,"Baseline","national face",5.53,5.46,5.52,1.79,1.9,-0.028,12,1,0.837441206,"English"
"181","EE02","F",19,91.25,1,"Baseline","natural service",5.09,5.43,5.69,1.41,1.85,-0.99,14,1,0.984341145,"English"
"182","EE02","F",19,91.25,2,"Baseline","key room",5.04,5.4,5.48,1.41,2.5,-0.91,7,1,1.537716866,"English"
"183","EE02","F",19,91.25,1,"Baseline","happy court",5,5.4,5.48,1.23,1.72,-1.44,10,1,0.901202917,"English"
"184","EE02","F",19,91.25,1,"Baseline","french question",5.17,5.35,5.54,1.23,1.94,-1.38,14,1,0.986189842,"English"
"185","EE02","F",19,91.25,1,"Baseline","significant mother",5.02,5.33,5.39,0,0.94,0,17,1,0.753213167,"English"
"186","EE02","F",19,91.25,1,"Baseline","early body",5.47,5.34,5.44,1.23,2.07,-1.46,9,1,1.251258135,"English"
"187","EE02","F",19,91.25,2,"Baseline","sorry voice",4.98,5.31,5.36,1.23,1.23,-1.2,10,1,0.837249994,"English"
"188","EE02","F",19,91.25,1,"Baseline","serious city",5.03,5.3,5.38,1.23,1.41,-1.2,11,1,1.187030077,"English"
"189","EE02","F",19,91.25,2,"Baseline","cold idea",5.01,5.27,5.45,0.94,1.64,-2.12,8,1,0.92108798,"English"
"190","EE02","F",19,91.25,2,"Baseline","ready land",4.94,5.27,5.31,1.41,1.54,-0.46,9,1,0.837388039,"English"
"191","EE02","F",19,91.25,1,"Baseline","large hours",5.48,5.21,5.41,1.54,1.79,-0.13,10,1,0.783855915,"English"
"192","EE02","F",19,91.25,2,"Baseline","future authority",5.29,5.21,5.44,1.23,2.2,-1.03,15,1,1.337655067,"English"
"193","EE02","F",19,91.25,2,"Baseline","wrong friend",5.14,5.16,5.43,1.41,2.04,-0.2,11,1,0.802567005,"English"
"194","EE02","F",19,91.25,1,"Baseline","obvious award",4.86,5.12,5.19,0,0,0,12,1,1.020679951,"English"
"195","EE02","F",19,91.25,2,"Baseline","individual game",5.22,5.11,5.26,0.94,1.72,-1.69,14,1,1.121007919,"English"
"196","EE02","F",19,91.25,1,"Baseline","little software",5.74,4.92,4.92,0.94,1.94,-1.85,14,1,0.850996017,"English"
"197","EE02","F",19,91.25,2,"Baseline","male glass",4.98,4.92,5.01,0,0,0,9,1,1.201869011,"English"
"198","EE03","F",20,90,2,"High_freq","long time",5.69,6.13,6.2,4.61,4.63,7.28,8,1,0.720518112,"English"
"199","EE03","F",20,90,2,"High_freq","young people",5.45,6.03,6.04,4.53,4.53,7.36,11,1,0.653396845,"English"
"200","EE03","F",20,90,1,"High_freq","recent years",5.14,5.89,6.15,4.4,4.4,7.39,11,1,0.787228107,"English"
"201","EE03","F",20,90,2,"High_freq","local government",5.61,5.74,5.77,4.48,4.58,8.06,15,1,1.338458061,"English"
"202","EE03","F",20,90,2,"High_freq","old man",5.67,5.71,5.93,4.34,4.4,7.65,6,1,0.803715944,"English"
"203","EE03","F",20,90,2,"High_freq","labour party",5.38,5.54,5.66,4.59,4.61,9.1,11,1,0.737343073,"English"
"204","EE03","F",20,90,1,"High_freq","hot water",4.89,5.48,5.51,3.97,3.97,7.34,8,1,0.684270144,"English"
"205","EE03","F",20,90,1,"High_freq","left hand",5.6,5.47,5.69,3.92,4,7,8,1,1.018605947,"English"
"206","EE03","F",20,90,2,"High_freq","economic development",5.31,5.45,5.51,3.98,4.01,7.36,19,1,1.054095984,"English"
"207","EE03","F",20,90,2,"High_freq","nuclear power",4.85,5.44,5.53,4.08,4.09,7.81,12,1,0.720330954,"English"
"208","EE03","F",20,90,1,"High_freq","blue eyes",4.95,5.38,5.51,3.9,3.94,7.4,8,1,0.901184797,"English"
"209","EE03","F",20,90,2,"High_freq","common law",5.24,5.37,5.44,4.01,4.02,7.73,9,1,0.820253849,"English"
"210","EE03","F",20,90,1,"High_freq","main road",5.34,5.37,5.43,3.82,3.9,7.07,8,1,0.567921877,"English"
"211","EE03","F",20,90,1,"High_freq","high level",5.53,5.37,5.54,3.97,4.22,7.47,9,1,0.836757183,"English"
"212","EE03","F",20,90,1,"High_freq","social policy",5.56,5.36,5.48,3.89,3.98,7.19,12,1,0.787350893,"English"
